,1. open,2. high,3. low,4. close,5. volume
2025-03-13 17:15:00,209.838,209.94,209.76,209.84,5059
2025-03-13 17:10:00,209.71,209.85,209.7,209.8333,11135
2025-03-13 17:05:00,209.83,209.83,209.68,209.73,74863
2025-03-13 17:00:00,213.7223,258.4298,209.75,209.83,5088
2025-03-13 16:55:00,209.86,264.1472,209.75,209.85,5005
2025-03-13 16:50:00,209.8,258.8842,202.0051,209.82,12349
2025-03-13 16:45:00,209.88,265.1391,209.8,209.8,8629
2025-03-13 16:40:00,209.95,209.99,209.68,209.88,582938
2025-03-13 16:35:00,209.9,209.99,209.68,209.95,119370
2025-03-13 16:30:00,209.98,209.98,209.9,209.9,8207
2025-03-13 16:25:00,209.9999,247.1,209.8715,209.88,14844
2025-03-13 16:20:00,209.68,210.0,209.68,210.0,23745
2025-03-13 16:15:00,209.68,210.26,209.68,209.91,14673
2025-03-13 16:10:00,209.93,211.5036,209.68,210.02,74133
2025-03-13 16:05:00,209.865,209.99,209.68,209.9,56399
2025-03-13 16:00:00,209.71,209.96,209.6,209.8,14240098
2025-03-13 15:55:00,209.14,209.76,209.07,209.71,2516241
2025-03-13 15:50:00,208.82,209.2,208.52,209.13,1585512
2025-03-13 15:45:00,208.98,209.28,208.76,208.8299,1251247
2025-03-13 15:40:00,209.18,209.33,208.42,208.97,1530300
2025-03-13 15:35:00,210.26,210.3166,209.165,209.175,1788441
2025-03-13 15:30:00,210.67,210.71,210.12,210.3099,838204
2025-03-13 15:25:00,211.1,211.14,210.36,210.63,696299
2025-03-13 15:20:00,211.33,211.35,211.03,211.1,433703
2025-03-13 15:15:00,211.05,211.47,210.9403,211.3473,456351
2025-03-13 15:10:00,211.09,211.3499,210.86,211.0334,573142
2025-03-13 15:05:00,211.89,211.939,211.08,211.105,575039
2025-03-13 15:00:00,211.91,212.29,211.77,211.92,389985
2025-03-13 14:55:00,211.76,211.99,211.71,211.92,293424
2025-03-13 14:50:00,212.16,212.2,211.39,211.76,476023
2025-03-13 14:45:00,212.23,212.25,211.78,212.145,697947
2025-03-13 14:40:00,212.2,212.35,212.1301,212.23,535944
2025-03-13 14:35:00,212.1,212.41,212.08,212.1935,318161
2025-03-13 14:30:00,212.286,212.4699,212.0389,212.08,451317
2025-03-13 14:25:00,211.94,212.33,211.94,212.28,365665
2025-03-13 14:20:00,211.45,211.94,211.4,211.9,356838
2025-03-13 14:15:00,212.31,212.3299,211.44,211.485,619696
2025-03-13 14:10:00,211.84,212.47,211.8,212.3033,477627
2025-03-13 14:05:00,211.71,211.98,211.598,211.83,380257
2025-03-13 14:00:00,211.1,211.82,211.04,211.6906,414020
2025-03-13 13:55:00,211.32,211.36,211.02,211.115,293023
2025-03-13 13:50:00,210.88,211.34,210.81,211.3399,454702
2025-03-13 13:45:00,210.775,210.93,210.5,210.875,373475
2025-03-13 13:40:00,210.99,211.23,210.72,210.77,502227
2025-03-13 13:35:00,210.6,211.14,210.5503,210.9704,400315
2025-03-13 13:30:00,211.14,211.27,210.6,210.6009,396090
2025-03-13 13:25:00,210.74,211.221,210.71,211.155,513820
2025-03-13 13:20:00,210.855,211.1399,210.72,210.76,433631
2025-03-13 13:15:00,211.205,211.2105,210.69,210.84,470238
2025-03-13 13:10:00,211.2,211.27,210.93,211.2,467474
2025-03-13 13:05:00,211.395,211.7,211.03,211.195,403735
2025-03-13 13:00:00,211.49,211.6149,211.08,211.38,445520
2025-03-13 12:55:00,211.37,211.55,211.13,211.49,548824
2025-03-13 12:50:00,211.51,211.86,211.27,211.39,521538
2025-03-13 12:45:00,212.09,212.1401,211.41,211.51,776909
2025-03-13 12:40:00,212.7598,212.9,212.0,212.105,383323
2025-03-13 12:35:00,212.66,212.93,212.43,212.74,483648
2025-03-13 12:30:00,211.9338,212.71,211.8,212.68,550724
2025-03-13 12:25:00,211.86,212.1093,211.72,211.94,386186
2025-03-13 12:20:00,212.205,212.29,211.78,211.84,443400
2025-03-13 12:15:00,211.97,212.32,211.79,212.21,447563
2025-03-13 12:10:00,212.11,212.23,211.74,211.96,589536
2025-03-13 12:05:00,212.06,212.33,211.55,212.12,881920
2025-03-13 12:00:00,212.08,212.21,211.65,212.04,1297967
2025-03-13 11:55:00,212.69,212.765,212.0,212.0757,1141042
2025-03-13 11:50:00,213.55,213.565,212.66,212.68,564573
2025-03-13 11:45:00,213.41,213.84,213.18,213.54,450275
2025-03-13 11:40:00,213.09,214.12,212.82,213.45,1014014
